datetime,QLD,NSW_VIC,SA
25-08-18 13:14:36,50.741726,49.902843,50.224075
25-08-18 13:14:37,50.74094,49.903267,50.231335
25-08-18 13:14:38,50.742702,49.904457,50.232929
25-08-18 13:14:39,50.734856,49.909306,50.229473
25-08-18 13:14:40,50.72971,49.911827,50.219398
25-08-18 13:14:41,50.733013,49.915318,50.20623
25-08-18 13:14:42,50.739216,49.91769,50.193275
25-08-18 13:14:43,50.743351,49.919769,50.183357
25-08-18 13:14:44,50.743507,49.920918,50.179249
25-08-18 13:14:45,50.738937,49.92495,50.177696
25-08-18 13:14:46,50.736187,49.931499,50.178802
25-08-18 13:14:47,50.739555,49.940525,50.184715
25-08-18 13:14:48,50.735939,49.949783,50.196075
25-08-18 13:14:49,50.733356,49.95734,50.209099
25-08-18 13:14:50,50.736179,49.959381,50.221237
25-08-18 13:14:51,50.727142,49.959045,50.229702
25-08-18 13:14:52,50.718113,49.95874,50.232964
25-08-18 13:14:53,50.721081,49.959389,50.232758
25-08-18 13:14:54,50.731594,49.964809,50.226448
25-08-18 13:14:55,50.733086,49.966007,50.217373
25-08-18 13:14:56,50.729656,49.969975,50.207325
25-08-18 13:14:57,50.722256,49.973419,50.196442
25-08-18 13:14:58,50.716995,49.976257,50.188816
25-08-18 13:14:59,50.713036,49.977848,50.187225
