Facility Name,Status,Region,Technology,Generator Capacity (MW),Latitude,Longitude
North Brown Hill,Commissioned,South Australia,Wind,132,-33.2281156193048,138.71688837303898
Numurkah,Commissioned,Victoria,Solar (Utility),74,-36.159275,145.47389099999998
Nyngan,Commissioned,New South Wales,Solar (Utility),102,-31.563191344278497,147.074195112039
Oakey,Commissioned,Queensland,Gas (OCGT),282,-27.4182072591559,151.678887225743
Oakey 1,Commissioned,Queensland,Solar (Utility),30,-27.402454,151.6425757
Oakey 2,Commissioned,Queensland,Solar (Utility),65,-27.402454,151.6425757
Oaklands Hill,Commissioned,Victoria,Wind,67,-37.6794809945517,142.55299488616998
Oaky Creek,Commissioned,Queensland,Gas (Reciprocating),20,-23.048717,148.484462
Oaky Creek 2,Commissioned,Queensland,Gas (Waste Coal Mine),15,-23.048717,148.484462
Osborne,Commissioned,South Australia,Gas (CCGT),180,-34.797699815377,138.50809861051098
Paloona,Commissioned,Tasmania,Hydro,33,-41.28267954161829,146.248580482472
Parkes,Commissioned,New South Wales,Solar (Utility),55,-33.113056,148.076372
Pelican Point,Commissioned,South Australia,Gas (CCGT),478,-34.764365355128604,138.5053993318
Pindari,Commissioned,New South Wales,Hydro,6,-29.388034,151.244774
Pioneer Sugar Mill,Commissioned,Queensland,Bioenergy (Biomass),68,-19.557546,147.330825
Poatina,Commissioned,Tasmania,Hydro,125,-41.8050732147105,146.92436549882402
Poatina,Commissioned,Tasmania,Hydro,200,-41.8050732147105,146.92436549882402
Port Lincoln,Commissioned,South Australia,Distillate,73,-34.700616012351496,135.804530499443
Port Stanvac,Commissioned,South Australia,Distillate,173.6,-35.110345,138.490872
Portland,Commissioned,Victoria,Wind,148,-38.3614171461369,141.38455974743601
Quarantine,Commissioned,South Australia,Gas (OCGT),229,-34.7790736853879,138.522454543776
Racecourse Mill,Commissioned,Queensland,Bioenergy (Biomass),48.5,-21.163842000000002,149.13573799999998
Reece,Commissioned,Tasmania,Hydro,232,-41.7231313449952,145.136468433099
Remount,Commissioned,Tasmania,Bioenergy (Biogas),2,-41.398447,147.1495
Repulse,Commissioned,Tasmania,Hydro,28,-42.507986886479,146.64716982064
Rochedale,Commissioned,Queensland,Bioenergy (Biogas),4,-27.555798,153.123155
Rocky Point Co-gen,Commissioned,Queensland,Bioenergy (Biomass),30,-27.733564,153.326464
Roma,Commissioned,Queensland,Gas (OCGT),80,-26.576788038755602,148.839485013731
Ross River,Commissioned,Queensland,Solar (Utility),128,-19.425304999999998,146.715686
Rowallan,Commissioned,Tasmania,Hydro,11,-41.729569831849,146.218086949827
Royalla,Commissioned,New South Wales,Solar (Utility),20,-35.486052460420105,149.141965695762
Rubicon,Commissioned,Victoria,Hydro,13,-37.29245321854629,145.818202438307
Rugby Run,Commissioned,Queensland,Solar (Utility),83,-21.940469,147.880877
Salt Creek,Commissioned,Victoria,Wind,54,-37.918698,142.796027
Sapphire,Commissioned,New South Wales,Wind,270,-29.710272999999997,151.44558
Shepparton Wastewater Treatment,Commissioned,Victoria,Bioenergy (Biogas),1,-36.322223,145.379291
Shoalhaven,Commissioned,New South Wales,"Hydro,Pumps",240,-34.7330846446504,150.466700105161
Silverton,Commissioned,New South Wales,Wind,198,-31.86095,141.296349
Smithfield,Commissioned,New South Wales,Gas (CCGT),39,-33.8500226284367,150.950050828532
Snowtown,Commissioned,South Australia,Wind,99,-33.6915984540895,138.16602222010098
Snowtown North,Commissioned,South Australia,Wind,144,-33.756478648772394,138.143043187414
Snowtown South,Commissioned,South Australia,Wind,126,-33.862624210288,138.13036653197202
Snuggery,Commissioned,South Australia,Distillate,88,-37.664995624079204,140.41468562441003
Somerton,Commissioned,Victoria,Gas (OCGT),170,-37.6309486600574,144.95309828615
South Keswick,Commissioned,New South Wales,Solar (Utility),15,-32.272859999999994,148.64983600000002
Springvale,Commissioned,Victoria,Bioenergy (Biogas),5,-37.973375,145.139695
St George Leagues Club,Commissioned,New South Wales,Distillate,1,-33.974819000000004,151.129354
Stanwell,Commissioned,Queensland,Black Coal,1460,-23.507501145433302,150.317883708605
Stapylton,Commissioned,Queensland,Bioenergy (Biogas),3,,
Starfish Hill,Commissioned,South Australia,Wind,35,-35.5789829575224,138.13965306151698
Sun Metals,Commissioned,Queensland,Solar (Utility),117,-19.437317999999998,146.696015
Sunshine Coast,Commissioned,Queensland,Solar (Utility),15,-26.560799,153.025947
Susan River,Commissioned,Queensland,Solar (Utility),85,-25.420275,152.742028
Swanbank E,Commissioned,Queensland,Gas (CCGT),385,-27.6552859093397,152.818643586756
Tableland Mill,Commissioned,Queensland,Biomass,24,-17.119813,145.34513
Tahmoor,Commissioned,New South Wales,Gas (Waste Coal Mine),7,-34.249117,150.577718
Tailem Bend  1,Commissioned,South Australia,Solar (Utility),108,-35.28,139.49
Tallawarra,Commissioned,New South Wales,Gas (CCGT),440,-34.5230894452804,150.808566045493
Tamar Valley,Commissioned,Tasmania,Gas (CCGT),208.6,-41.1392679526502,146.906184786351
Taralga,Commissioned,New South Wales,Wind,106,-34.4253872675598,149.859603200677
Tarong,Commissioned,Queensland,Black Coal,1400,-26.7743967256886,151.91783763481502
Tarong North,Commissioned,Queensland,Black Coal,443,-26.7743967256886,151.91783763481502
Tarraleah,Commissioned,Tasmania,Hydro,90,-42.301735605204,146.456661016905
Tataria Bordertown,Commissioned,South Australia,Distillate,1,-36.326977,140.73703500000002
Tatura Biomass,Commissioned,Victoria,Bioenergy (Biogas),1,-36.47915,145.235037
Temporary Generation North,Commissioned,South Australia,Distillate,154,-34.719707,138.668425
Temporary Generation South,Commissioned,South Australia,Distillate,123,-35.096799,138.483997
Teralba,Commissioned,New South Wales,Gas (Waste Coal Mine),3,-32.945557,151.612042
The Bluff,Commissioned,South Australia,Wind,52.5,-33.3677405026772,138.79378986166
The Drop,Commissioned,New South Wales,Hydro,3,-35.973527000000004,145.99927399999999
Timboon West,Commissioned,Victoria,Wind,7,-38.528351,142.916231
Toora,Commissioned,Victoria,Wind,21,-38.653527957636,146.339773925194
Torrens Island,Commissioned,South Australia,Gas (Steam),1280,-34.8045591391219,138.522228698972
Tower,Commissioned,New South Wales,Gas (Waste Coal Mine),41,-34.219460999999995,150.71801200000002
Townsville,Commissioned,Queensland,Gas (CCGT),242,-19.2003738513919,146.61826474008998
Traralgon Network Support,Commissioned,Victoria,Gas (Reciprocating),10,-37.833513,144.965955
Trevallyn,Commissioned,Tasmania,Hydro,93,-41.4223016124435,147.112025239595
Tribute,Commissioned,Tasmania,Hydro,108,-41.8114682913897,145.653251895339
Tumut,Commissioned,New South Wales,Hydro,616,-35.9534920741923,148.369693358993
Tumut 3,Commissioned,New South Wales,"Hydro,Pumps",1500,-35.6108171090502,148.29264351448998
Tungatinah,Commissioned,Tasmania,Hydro,125,-42.2963963682648,146.45588138196
Uranquinty,Commissioned,New South Wales,Gas (OCGT),664,-35.180225647620205,147.21565992714
Vales Point B,Commissioned,New South Wales,Black Coal,1320,-33.164639,151.5441155
Valley  Peaking,Commissioned,Victoria,Gas (OCGT),300,-38.2526008522186,146.58890593343202
Veolia Ti Tree Bio Reactor,Commissioned,Queensland,Bioenergy (Biogas),2,-27.695551000000002,152.65031299999998
Victoria Mill,Commissioned,Queensland,Bioenergy (Biomass),24,-18.650208,146.200866
Waterloo,Commissioned,South Australia,Wind,130,-33.991095267936004,138.915722795005
Wattle Point,Commissioned,South Australia,Wind,91,-35.1154104383038,137.718672417968
Waubra,Commissioned,Victoria,Wind,192,-37.3579790620375,143.592600206467
Wemen,Commissioned,Victoria,Solar (Utility),97,-34.80259,142.543348
West Illawarra Leagues Club,Commissioned,New South Wales,Distillate,1,-34.451645,150.843037
West Kiewa,Commissioned,Victoria,Hydro,62,-36.759673693368605,147.18608214576798
West Nowra,Commissioned,New South Wales,Bioenergy (Biogas),1,-34.882318,150.551075
Western Suburbs League Club,Commissioned,New South Wales,Distillate,1,-34.051072999999995,150.83275700000002
White Rock,Commissioned,New South Wales,Solar (Utility),22,-29.7632925,151.5502083
White Rock,Commissioned,New South Wales,Wind,175,-29.8291832,151.5453929
Whitsunday,Commissioned,Queensland,Solar (Utility),57,-20.537259,147.80475
Whitwood Road,Commissioned,Queensland,Bioenergy (Biogas),1,-27.620454,152.824409
Wilga Park,Commissioned,New South Wales,Gas (Reciprocating),10,-30.314444,149.65276799999998
Wilga Park B,Commissioned,New South Wales,Gas (Reciprocating),6,-30.314444,149.65276799999998
Willogoleche,Commissioned,South Australia,Wind,119,-33.393569,138.84821000000002
Willoughby,Commissioned,New South Wales,Distillate,3,-33.810858,151.196599
Windy Hill,Commissioned,Queensland,Wind,12,-17.590398999999998,145.52968
Wingfield 1,Commissioned,South Australia,Bioenergy (Biogas),5,-34.835138,138.548949
Wingfield 2,Commissioned,South Australia,Bioenergy (Biogas),5,-34.835138,138.548949
Wivenhoe,Commissioned,Queensland,"Hydro,Pumps",570,-27.3722237672267,152.63236172623698
Wivenhoe (Mini Hydro),Commissioned,Queensland,Hydro,5,-27.394592,152.609237
Wollert,Commissioned,Victoria,Bioenergy (Biogas),7,-37.591792,145.043033
Wonthaggi,Commissioned,Victoria,Wind,12,-38.605129999999996,145.546292
Woodlawn,Commissioned,New South Wales,Wind,48,-35.0816745987566,149.570510727867
Woodlawn Bioreactor,Commissioned,New South Wales,Bioenergy (Biogas),7,-35.05928,149.5749
Woolnorth,Commissioned,Tasmania,Wind,140,-40.736374750198706,144.694820513736
Woy Woy,Commissioned,New South Wales,Bioenergy (Biogas),1,-33.506914,151.291606
Wyangala A,Commissioned,New South Wales,Hydro,20,-33.980371000000005,148.947377
Wyangala B,Commissioned,New South Wales,Hydro,4,-33.980371000000005,148.947377
Yallourn W,Commissioned,Victoria,Brown Coal,1480,-38.177596216851605,146.347508446364
Yaloak South,Commissioned,Victoria,Wind,28,-37.716474,144.241947
Yambuk,Commissioned,Victoria,Wind,30,-38.305278107624,142.018439165612
Yarrawonga,Commissioned,Victoria,Hydro,9,-36.009465999999996,145.99956799999998
Yarwun,Commissioned,Queensland,Gas (CCGT),154,-23.8302003068757,151.149691648905
Yawong,Commissioned,Victoria,Wind,7.2,-36.471022,143.361722
Yendon,Commissioned,Victoria,Wind,144,-37.630952,144.022463
