DUID,Region,Participant,Station Name,Technology Type - Descriptor
REECE2,TAS1,Hydro-Electric Corporation,Reece Power Station,Hydro - Gravity
REPULSE,TAS1,Hydro-Electric Corporation,Repulse Power Station,Hydro - Gravity
ROWALLAN,TAS1,Hydro-Electric Corporation,Rowallan Power Station,Hydro - Gravity
TARRALEA,TAS1,Hydro-Electric Corporation,Tarraleah Power Station,Hydro - Gravity
TREVALLN,TAS1,Hydro-Electric Corporation,Trevallyn Power Station,Hydro - Gravity
TRIBUTE,TAS1,Hydro-Electric Corporation,Tribute Power Station,Hydro - Gravity
TUNGATIN,TAS1,Hydro-Electric Corporation,Tungatinah Power Station,Hydro - Gravity
WOOLNTH1,TAS1,Hydro-Electric Corporation,Woolnorth Studland Bay / Bluff Point Wind Farm,Wind - Onshore
CESF1,NSW1,Infigen Energy Holdings Pty Limited,Capital East Solar Farm,Photovoltaic Flat panel
CAPTL_WF,NSW1,Infigen Energy Markets Pty Limited,Capital Wind Farm,Wind - Onshore
KARSF1,VIC1,Iraak Sun Farm Pty Ltd,Karadoc Solar Farm,Photovoltaic Flat panel
KIATAWF1,VIC1,Kiata Wind Farm Pty Ltd,Kiata Wind Farm,Wind - Onshore
LBBG1,SA1,Lake Bonney Wind Power Pty Ltd,Lake Bonney BESS1,Battery
LBBL1,SA1,Lake Bonney Wind Power Pty Ltd,Lake Bonney BESS1,Battery
LKBONNY2,SA1,Lake Bonney Wind Power Pty Ltd,Lake Bonney Stage 2 Windfarm,Wind - Onshore
LKBONNY3,SA1,Lake Bonney Wind Power Pty Ltd,Lake Bonney Stage 3 Wind Farm,Wind - Onshore
LKBONNY1,SA1,Lake Bonney Wind Power Pty Ltd,Lake Bonney Wind Farm Stage 1,Wind - Onshore
YENDWF1,VIC1,Lal Lal Wind Farms Nom Co Pty Ltd,Yendon Wind Farm,Wind - Onshore
-,VIC1,Landfill Operations Pty Ltd,Melbourne Regional Landfill,Spark Ignition Reciprocating Engine
LIMOSF21,NSW1,Limondale Sun Farm Pty Ltd,Limondale Solar Farm 2,Photovoltaic Tracking Flat Panel
LGAPWF1,SA1,Lincoln Gap Wind Farm (Operations) Pty Ltd,Lincoln Gap Wind Farm,Wind - Onshore
EASTCRK2,NSW1,LMS Energy Pty Ltd,Eastern Creek 2 Gas Utilisation Facility,Spark Ignition Reciprocating Engine
HALAMRD1,VIC1,LMS Energy Pty Ltd,Hallam Road Renewable Energy Facility,Spark Ignition Reciprocating Engine
REMOUNT,TAS1,LMS Energy Pty Ltd,Remount Power Station,Spark Ignition Reciprocating Engine
STAPYLTON1,QLD1,LMS Energy Pty Ltd,Stapylton Renewable Energy Facility,Spark Ignition Reciprocating Engine
WOLLERT1,VIC1,LMS Energy Pty Ltd,Wollert Renewable Energy Facility,Spark Ignition Reciprocating Engine
RACOMIL1,QLD1,Mackay Sugar Limited,Racecourse Mill Power Station,Steam Sub-Critical
MANSLR1,NSW1,Manildra Prop Pty Ltd as The Trustee for the Manildra Asset Trust,Manildra solar Farm,Photovoltaic Flat panel
MPP_1,QLD1,Millmerran Energy Trader Pty Ltd,Millmerran Power Plant,Steam Super Critical
MPP_2,QLD1,Millmerran Energy Trader Pty Ltd,Millmerran Power Plant,Steam Super Critical
MOREESF1,NSW1,Moree Solar Farm Pty Ltd,Moree Solar Farm,Photovoltaic Tracking Flat panel
MLWF1,VIC1,Mortons Lane Windfarm Pty Limited,Mortons Lane Wind Farm,Wind - Onshore
TABMILL2,QLD1,MP Tableland Green Power Pty Ltd,"Tableland Mill, Unit 2",Steam Super Critical
MTGELWF1,VIC1,Mt Gellibrand Wind Farm Pty Ltd,Mt Gellibrand Wind Farm,Wind - Onshore
HEPWIND1,VIC1,Mt Mercer Windfarm Pty Ltd,Hepburn Community Wind Farm,Wind - Onshore
MERCER01,VIC1,Mt Mercer Windfarm Pty Ltd,Mt Mercer Wind Farm,Wind - Onshore
MTMILLAR,SA1,Mt Millar Wind Farm Pty Ltd,Mt Millar Wind Farm,Wind - Onshore
MLSP1,NSW1,Mugga Lane Solar Park Pty Ltd,Mugga Lane Solar Park,Photovoltaic Tracking Flat panel
GULLRSF1,NSW1,New Gullen Range Wind Farm Pty Ltd,Gullen Range Solar Farm,Photovoltaic Flat panel
GULLRWF1,NSW1,New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,Wind - Onshore
TGNSS1,VIC1,NovaPower Pty Ltd,Traralgon Network Support Station,Spark Ignition Reciprocating Engine
NUMURSF1,VIC1,Numurkah Solar Farm Pty Ltd,Numurkah Solar Farm,Photovoltaic Tracking Flat panel
NUMURSF2,VIC1,Numurkah Solar Farm Pty Ltd,Numurkah Solar Farm,Photovoltaic Tracking Flat panel
DDPS1,QLD1,Origin Energy Electricity Limited,Darling Downs Power Station,Combined Cycle Gas Turbine (CCGT)
ER01,NSW1,Origin Energy Electricity Limited,Eraring Power Station,Steam Sub-Critical
ER02,NSW1,Origin Energy Electricity Limited,Eraring Power Station,Steam Sub-Critical
ER03,NSW1,Origin Energy Electricity Limited,Eraring Power Station,Steam Sub-Critical
ER04,NSW1,Origin Energy Electricity Limited,Eraring Power Station,Steam Sub-Critical
ERGT01,NSW1,Origin Energy Electricity Limited,Eraring Power Station,Open Cycle Gas turbines (OCGT)
LADBROK1,SA1,Origin Energy Electricity Limited,Ladbroke Grove Power Station,Open Cycle Gas turbines (OCGT)
LADBROK2,SA1,Origin Energy Electricity Limited,Ladbroke Grove Power Station,Open Cycle Gas turbines (OCGT)
MORTLK11,VIC1,Origin Energy Electricity Limited,Mortlake Power Station,Open Cycle Gas turbines (OCGT)
MORTLK12,VIC1,Origin Energy Electricity Limited,Mortlake Power Station,Open Cycle Gas turbines (OCGT)
MSTUART1,QLD1,Origin Energy Electricity Limited,Mt Stuart Power Station,Open Cycle Gas turbines (OCGT)
MSTUART2,QLD1,Origin Energy Electricity Limited,Mt Stuart Power Station,Open Cycle Gas turbines (OCGT)
MSTUART3,QLD1,Origin Energy Electricity Limited,Mt Stuart Power Station,Open Cycle Gas turbines (OCGT)
ROMA_7,QLD1,Origin Energy Electricity Limited,Roma Gas Turbine Station,Open Cycle Gas turbines (OCGT)
OSB-AG,SA1,Origin Energy Electricity Limited,Osborne Power Station,Combined Cycle Gas Turbine (CCGT)
QPS1,SA1,Origin Energy Electricity Limited,Quarantine Power Station,Open Cycle Gas turbines (OCGT)
QPS2,SA1,Origin Energy Electricity Limited,Quarantine Power Station,Open Cycle Gas turbines (OCGT)
QPS3,SA1,Origin Energy Electricity Limited,Quarantine Power Station,Open Cycle Gas turbines (OCGT)
QPS4,SA1,Origin Energy Electricity Limited,Quarantine Power Station,Open Cycle Gas turbines (OCGT)
QPS5,SA1,Origin Energy Electricity Limited,Quarantine Power Station,Open Cycle Gas turbines (OCGT)
ROMA_8,QLD1,Origin Energy Electricity Limited,Roma Gas Turbine Station,Open Cycle Gas turbines (OCGT)
SHGEN,NSW1,Origin Energy Electricity Limited,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),Hydro - Gravity
SHPUMP,NSW1,Origin Energy Electricity Limited,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),-
WHIT1,QLD1,Origin Energy Electricity Limited,Whitwood Road Renewable Energy Facility,Compression Reciprocating Engine
URANQ11,NSW1,Origin Energy Electricity Limited,Uranquinty Power Station,Open Cycle Gas turbines (OCGT)
URANQ12,NSW1,Origin Energy Electricity Limited,Uranquinty Power Station,Open Cycle Gas turbines (OCGT)
URANQ13,NSW1,Origin Energy Electricity Limited,Uranquinty Power Station,Open Cycle Gas turbines (OCGT)
URANQ14,NSW1,Origin Energy Electricity Limited,Uranquinty Power Station,Open Cycle Gas turbines (OCGT)
BNGSF1,SA1,Origin Energy Uranquinty Power Pty Ltd,Bungala One Solar Farm,Photovoltaic Tracking Flat panel
BNGSF2,SA1,Origin Energy Uranquinty Power Pty Ltd,Bungala Two Solar Farm,Photovoltaic Tracking Flat panel
CHALLHWF,VIC1,Pacific Hydro Challicum Hills Pty Ltd,Challicum Hills Wind Farm,Wind - Onshore
CLEMGPWF,SA1,Pacific Hydro Clements Gap Pty Ltd,Clements Gap Wind Farm,Wind - Onshore
CROWLWF1,VIC1,Pacific Hydro Crowlands Pty Ltd ,Crowlands Wind Farm,Wind - Onshore
HAUGHT11,QLD1,Pacific Hydro Haughton Solar Farm Pty Ltd,Haughton Solar Farm Stage 1,Photovoltaic Tracking Flat panel
EILDON3,VIC1,Pacific Hydro Investments Pty Ltd,Eildon Power Station,Run of River
GLENMAG1,VIC1,Pacific Hydro Investments Pty Ltd,Glenmaggie Hydro Power Station,Run of River
THEDROP1,NSW1,Pacific Hydro Investments Pty Ltd,The Drop Power Station,Run of River
WILLHOV1,VIC1,Pacific Hydro Investments Pty Ltd,William Hovell Power Station,Run of River
-,VIC1,Pacific Hydro Portland Wind Farm Pty Ltd,Portland Wind Farm,Wind - Onshore
YSWF1,VIC1,Pacific Hydro Yaloak South Pty Ltd,Yaloak South Wind Farm,Wind - Onshore
PARSF1,NSW1,Parkes Solar Farm Pty Ltd,Parkes Solar Farm,Photovoltaic Flat panel
